STD_ID,Пол,Статус,Дата выпуска,Категория обучения,Форма обучения,Шифр,направление (специальность),Образование,Дата выдачи,Что именно закончил
99136,Ж,ВЫП,2019-08-31,БП,Д,31.05.01,Лечебное дело,СР,2013-06-26 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
99112,Ж,ВЫП,2019-08-31,БП,Д,31.05.01,Лечебное дело,СР,2012-06-23 00:00:00,"МОУ СОШ N   2, ПЕСТОВО"
99109,Ж,ВЫП,2019-08-31,БП,Д,31.05.01,Лечебное дело,СР,2013-06-25 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
99125,Ж,ВЫП,2019-08-31,БП,Д,31.05.01,Лечебное дело,СР,2013-06-23 00:00:00,"Гимназия ""ГАРМОНИЯ"""
100676,М,ВЫП,2019-08-31,БП,Д,31.05.01,Лечебное дело,СР,2012-06-29 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
99099,Ж,ВЫП,2019-08-31,БП,Д,31.05.01,Лечебное дело,СР,2013-06-21 00:00:00,"МОУ СОШ (полная), ХОЛМ"
103016,Ж,ВЫП,2019-06-30,ДОГ,Д,31.05.01,Лечебное дело,СР,2013-05-21 00:00:00,"СРЕДНЯЯ ШКОЛА N 1 , ЧУДОВО ул Титова"
100677,М,ВЫП,2019-08-31,БП,Д,31.05.01,Лечебное дело,СР,2012-06-20 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
116989,М,ВЫП,2019-08-31,БП,Д,04.05.01,Фундаментальная и прикладная химия,СР,2014-06-20 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
120708,Ж,ВЫП,2019-06-30,ДОГ,Д,31.05.03,Стоматология,СР,2014-06-21 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
113136,Ж,ВЫП,2019-08-31,БП,Д,31.05.03,Стоматология,СР,2014-06-27 00:00:00,"МСОШ N 1, ОКУЛОВКА"
114374,Ж,ВЫП,2019-06-30,БП,Д,31.05.03,Стоматология,СР,2014-06-25 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
120718,Ж,ВЫП,2019-06-30,ДОГ,Д,31.05.03,Стоматология,СР,2012-06-23 00:00:00,"СРЕДНЯЯ ШКОЛА N  14, НОВГОРОД"
117172,М,ВЫП,2019-08-31,БП,Д,31.05.03,Стоматология,СР,2014-06-25 00:00:00,"СРЕДНЯЯ ШКОЛА , ДЕМЯНСК"
117164,Ж,ВЫП,2019-08-31,БП,Д,33.05.01,Фармация,СР,2014-06-19 00:00:00,"МСОШ N   4, СТАРАЯ РУССА"
117165,Ж,ВЫП,2019-06-30,БП,Д,33.05.01,Фармация,СР,2014-06-22 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
